Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Bahamas, The",BHS,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1947.177,1862.836,1925.175,1958.178,1965.512,1822.499,1771.161,1793.163,2357.881,1602.479,2383.55,1796.83,1899.506,2867.594,2346.88,2009.516,1782.162,,,,,,
Bosnia and Herzegovina,BIH,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,3303.967,3248.962,3102.282,2852.926,3406.643,3138.952,3318.635,3545.989,4103.373,4400.4,4462.739,4422.402,4110.707,4008.031,4096.039,4257.387,4840.44,,,,,,
Belarus,BLR,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,16699.518,15797.436,14983.362,14620.329,16450.162,16530.836,18518.35,16666.515,18441.343,23325.787,16941.54,20091.493,18881.383,18312.998,18004.97,16772.858,16835.197,,,,,,
Belize,BLZ,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,396.036,447.374,432.706,432.706,392.369,421.705,443.707,476.71,436.373,586.72,524.381,590.387,469.376,506.046,491.378,575.719,564.718,,,,,,
Bermuda,BMU,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,517.047,528.048,557.384,561.051,583.053,583.053,652.726,729.733,649.059,476.71,608.722,443.707,366.7,509.713,649.059,557.384,612.389,,,,,,
Bolivia,BOL,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,4664.424,5082.462,4932.115,6057.884,6094.554,6706.943,6618.935,7176.319,7308.331,7429.342,7876.716,8346.092,10252.932,10091.584,10623.299,10124.587,10773.646,,,,,,
Brazil,BRA,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,234046.275,238820.709,231516.045,219594.628,226484.921,232099.098,230844.984,240217.836,253000.998,251145.496,273884.563,289139.283,309527.803,325988.966,342754.49,317125.827,296990.33,,,,,,
Barbados,BRB,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,982.756,1030.427,1023.093,1063.43,1085.432,1133.103,1151.438,1177.107,1433.797,1452.132,1331.121,1386.126,1345.789,1320.12,1144.104,1140.437,1158.772,,,,,,
Brunei Darussalam,BRN,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,839.743,902.082,718.732,839.743,1008.425,1059.763,971.755,1848.168,2057.187,1756.493,1591.478,1958.178,2068.188,1657.484,1690.487,1646.483,1804.164,,,,,,
Bhutan,BTN,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,146.68,161.348,168.682,187.017,198.018,212.686,220.02,223.687,216.353,242.022,311.695,366.7,440.04,443.707,443.707,458.375,480.377,,,,,,
Botswana,BWA,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1727.157,1844.501,1888.505,2024.184,1914.174,1954.511,2046.186,2295.542,2552.232,2181.865,2445.889,2592.569,2746.583,2885.929,3003.273,2519.229,2757.584,,,,,,
Central African Republic,CAF,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,267.691,245.689,245.689,234.688,234.688,234.688,249.356,253.023,253.023,253.023,264.024,278.692,293.36,286.026,289.693,293.36,297.027,,,,,,
Canada,CAN,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,231197.016,231684.727,224064.701,244863.925,253375.032,252520.621,263462.949,265058.094,258057.791,255776.917,250892.473,244830.922,241970.662,242084.339,253327.361,269326.482,252538.956,,,,,,
Central Europe and the Baltics,CEB,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,157105.281,169562.08,169257.719,170354.152,171597.265,174956.237,180889.443,182953.964,183665.362,173390.428,174050.488,171391.913,166129.768,155576.142,157475.648,166129.768,176467.041,,,,,,
Switzerland,CHE,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,31132.83,34664.151,32683.971,31862.563,31825.893,32511.622,33230.354,29431.342,31440.858,32973.664,29438.676,28184.562,28477.922,30531.442,26629.754,26450.071,24884.262,,,,,,
Channel Islands,CHI,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,30652.453,28488.923,30348.092,29611.025,31349.183,33853.744,35764.251,47263.963,47590.326,44968.421,43494.287,45665.151,45199.442,45951.177,43853.653,44389.035,46101.524,,,,,,
China,CHN,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,649216.681,659839.98,653620.748,727694.148,839779.67,850868.678,899269.411,904450.882,970911.59,952294.231,1093466.397,1124778.91,1177675.385,1235632.32,1264106.575,1328664.11,1336397.813,,,,,,
Cote d'Ivoire,CIV,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,4048.368,4778.101,4286.723,2783.253,4352.729,4165.712,3681.668,3652.332,3556.99,2731.915,3028.942,3351.638,5078.795,5782.859,5962.542,5551.838,3560.657,,,,,,
Cameroon,CMR,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,2988.605,2933.6,2951.935,3322.302,3443.313,3197.624,3362.639,4576.416,4330.727,5588.508,5687.517,5302.482,4880.777,3736.673,5298.815,6182.562,5969.876,,,,,,
"Congo, Dem. Rep.",COD,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,825.075,689.396,744.401,905.749,990.09,1239.446,1327.454,1448.465,1609.813,1474.134,1727.157,2222.202,2200.2,3366.306,4503.076,2636.573,1914.174,,,,,,
"Congo, Rep.",COG,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,557.384,766.403,575.719,883.747,913.083,887.414,1023.093,1122.102,1210.11,1576.81,1738.158,1932.509,2478.892,2533.897,2405.552,2357.881,2321.211,,,,,,
Colombia,COL,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,29350.668,28565.93,28745.613,29669.697,29548.686,30964.148,34000.424,34275.449,34081.098,35764.251,35727.581,35368.215,38947.207,45514.804,42397.854,43959.996,49196.472,,,,,,
Comoros,COM,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,102.676,102.676,102.676,132.012,143.013,139.346,161.348,102.676,106.343,132.012,161.348,135.679,143.013,176.016,154.014,168.682,201.685,,,,,,
Cabo Verde,CPV,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,216.353,234.688,275.025,308.028,330.03,440.04,473.043,506.046,469.376,524.381,557.384,616.056,506.046,498.712,491.378,495.045,542.716,,,,,,
Costa Rica,CRI,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,4950.45,5045.792,5526.169,5683.85,5874.534,5742.522,6255.902,6677.607,6787.617,6600.6,6703.276,6340.243,6343.91,6684.941,6787.617,6439.252,6926.963,,,,,,
Caribbean small states,CSS,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,22119.344,22240.355,21110.919,22280.692,21572.961,22005.667,23164.439,22794.072,24117.859,21466.618,22313.695,21242.931,21026.578,22885.747,21110.919,21114.586,22504.379,,,,,,
Cuba,CUB,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,24081.189,23582.477,24238.87,23450.465,22852.744,23721.823,23545.807,22647.392,24770.585,25089.614,31158.499,26541.746,26835.106,25041.943,24524.896,26079.704,25254.629,,,,,,
Curacao,CUW,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,,,,,,,,,,,,,5999.212,5214.474,5881.868,6120.223,5115.465,,,,,,
Cayman Islands,CYM,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,465.709,465.709,484.044,484.044,462.042,473.043,484.044,572.052,583.053,557.384,557.384,586.72,535.382,535.382,546.383,557.384,546.383,,,,,,
Cyprus,CYP,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,6153.226,6061.551,6160.56,6791.284,6336.576,6464.921,6750.947,7128.648,7517.35,7315.665,6970.967,6791.284,6406.249,5518.835,5687.517,5727.854,6079.886,,,,,,
Czechia,CZE,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,18111.313,19288.42,19834.803,20362.851,21525.29,21448.283,20883.565,21598.63,21572.961,20876.231,19893.475,19490.105,18899.718,18470.679,19314.089,19937.479,20271.176,,,,,,
Germany,DEU,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,316880.138,326883.714,312322.057,304452.675,295292.509,288149.193,288790.918,254926.173,274702.304,259440.25,262982.572,252417.945,252436.28,258710.517,250800.798,253774.735,252344.605,,,,,,
